"Record_number","Author","Year","Journal","Trial","Phase_1","Phase_2","Phase_3","Vaccine","Manufacture","Vaccine_type","Group_ID","Group","Candidate_for_further_evaluation","Reference_to_highest_dose","Reference_to_lowest_dose","Age_lower","Age_upper","N","Total_doses","Dosage","Days_between_doses","Days_lower","Days_upper","Concentration_dose_1","Concentration_dose_2","Concentration_dose_3","Concentration_unit","Target","Assay_or_measurement","Specific_immunity_type","Immunity_measurement_unit","Immunity_value","Immunity_value_lower","Immunity_value_upper","Display_item","Ref_baseline","Ref_baseline_lower","Ref_baseline_upper","Ref_conv","Ref_conv_lower","Ref_conv_upper","N_conv","Days_since_first_dose","Days_since_last_dose"
12,"Anderson, E",2020,"NEJM","Yes","Yes","No","No","mRNA-1273","Moderna","mRNA","A5","High-dose, 18to55","Yes","A5","A1",18,55,15,2,2,28,35,35,100,100,NA,"ug","Pseudo virus","PsVNA ID50","NT Ab","GMT/CI",263,188,368,"Table S4",10,10,10,106,60,189,41,7,7
12,"Anderson, E",2020,"NEJM","Yes","Yes","No","No","mRNA-1273","Moderna","mRNA","A5","High-dose, 18to55","Yes","A5","A1",18,55,14,2,2,28,42,42,100,100,NA,"ug","Pseudo virus","PsVNA ID50","NT Ab","GMT/CI",360,273,476,"Table S4",10,10,10,106,60,189,41,14,14
12,"Anderson, E",2020,"NEJM","Yes","Yes","No","No","mRNA-1273","Moderna","mRNA","A5","High-dose, 18to55","Yes","A5","A1",18,55,14,2,2,28,56,56,100,100,NA,"ug","Pseudo virus","PsVNA ID50","NT Ab","GMT/CI",267,186,385,"Table S4",10,10,10,106,60,189,41,28,28
6,"Xia, S",2020,"JAMA","Yes","Yes","No","No","Sinopharm (Wuhan)","Sinopharm (Wuhan)","Inactivated","A1","Low-dose, phase 1",NA,"A3","A1",18,59,24,3,3,28,70,70,2.5,2.5,2.5,"ug","Live virus","PRNT 50","NT Ab","GMT/CI",316,218,457,"Table 3",5,5,5,NA,NA,NA,NA,42,14
6,"Xia, S",2020,"JAMA","Yes","Yes","No","No","Sinopharm (Wuhan)","Sinopharm (Wuhan)","Inactivated","A2","Medium-dose, phase 1",NA,"A3","A1",18,59,24,3,3,28,70,70,5,5,5,"ug","Live virus","PRNT 50","NT Ab","GMT/CI",206,123,343,"Table 3",5,5,5,NA,NA,NA,NA,42,14
6,"Xia, S",2020,"JAMA","Yes","Yes","No","No","Sinopharm (Wuhan)","Sinopharm (Wuhan)","Inactivated","A3","High-dose, phase 1",NA,"A3","A1",18,59,24,3,3,28,70,70,10,10,10,"ug","Live virus","PRNT 50","NT Ab","GMT/CI",297,208,424,"Table 3",5,5,5,NA,NA,NA,NA,42,14
6,"Xia, S",2020,"JAMA","Yes","No","Yes","No","Sinopharm (Wuhan)","Sinopharm (Wuhan)","Inactivated","B1","14-day, phase 2",NA,"A3","A1",18,59,42,2,2,14,28,28,5,5,NA,"ug","Live virus","PRNT 50","NT Ab","GMT/CI",121,95,154,"Table 3",5,5,5,NA,NA,NA,NA,14,14
6,"Xia, S",2020,"JAMA","Yes","No","Yes","No","Sinopharm (Wuhan)","Sinopharm (Wuhan)","Inactivated","B2","21-day, phase 2",NA,"A3","A1",18,59,42,2,2,21,35,35,5,5,NA,"ug","Live virus","PRNT 50","NT Ab","GMT/CI",247,176,345,"Table 3",5,5,5,NA,NA,NA,NA,14,14
850,"Che, Y",2020,"CID","Yes","No","Yes","No","CAMS","Chinese Academy of Medical Sciences","Inactivated","A1","Medium-dose, 14 days","No","A2","A1",18,59,148,2,0,14,0,0,100,100,NA,"EU","Live virus","MNT 50","NT Ab","GMT/SE",2,2,2,"Figure 2",NA,NA,NA,NA,NA,NA,NA,-14,-14
850,"Che, Y",2020,"CID","Yes","No","Yes","No","CAMS","Chinese Academy of Medical Sciences","Inactivated","A1","Medium-dose, 14 days","No","A2","A1",18,59,148,2,1,14,14,14,100,100,NA,"EU","Live virus","MNT 50","NT Ab","GMT/SE",22.9,6.11,78.6,"Figure 2",NA,NA,NA,NA,NA,NA,NA,0,0
850,"Che, Y",2020,"CID","Yes","No","Yes","No","CAMS","Chinese Academy of Medical Sciences","Inactivated","A1","Medium-dose, 14 days","No","A2","A1",18,59,148,2,2,14,28,28,100,100,NA,"EU","Live virus","MNT 50","NT Ab","GMT/SE",18.15,5.57,53.83,"Figure 2",NA,NA,NA,NA,NA,NA,NA,14,14
850,"Che, Y",2020,"CID","Yes","No","Yes","No","CAMS","Chinese Academy of Medical Sciences","Inactivated","A2","High dose, 14 days","Yes","A2","A1",18,59,150,2,0,14,0,0,150,150,NA,"EU","Live virus","MNT 50","NT Ab","GMT/SE",2,2,2,"Figure 2",NA,NA,NA,NA,NA,NA,NA,-14,-14
850,"Che, Y",2020,"CID","Yes","No","Yes","No","CAMS","Chinese Academy of Medical Sciences","Inactivated","A2","High dose, 14 days","Yes","A2","A1",18,59,150,2,1,14,14,14,150,150,NA,"EU","Live virus","MNT 50","NT Ab","GMT/SE",29.68,8.06,88.96,"Figure 2",NA,NA,NA,NA,NA,NA,NA,0,0
850,"Che, Y",2020,"CID","Yes","No","Yes","No","CAMS","Chinese Academy of Medical Sciences","Inactivated","A2","High dose, 14 days","Yes","A2","A1",18,59,150,2,2,14,28,28,150,150,NA,"EU","Live virus","MNT 50","NT Ab","GMT/SE",21.39,5.64,67.98,"Figure 2",NA,NA,NA,NA,NA,NA,NA,14,14
850,"Che, Y",2020,"CID","Yes","No","Yes","No","CAMS","Chinese Academy of Medical Sciences","Inactivated","A3","Medium-dose, 28 days","No","A4","A3",18,59,149,2,1,28,0,0,100,100,NA,"EU","Live virus","MNT 50","NT Ab","GMT/SE",2,2,2,"Figure 2",NA,NA,NA,NA,NA,NA,NA,-28,-28
850,"Che, Y",2020,"CID","Yes","No","Yes","No","CAMS","Chinese Academy of Medical Sciences","Inactivated","A3","Medium-dose, 28 days","No","A4","A3",18,59,149,2,2,28,28,28,100,100,NA,"EU","Live virus","MNT 50","NT Ab","GMT/SE",18.57,6.3,43.76,"Figure 2",NA,NA,NA,NA,NA,NA,NA,0,0
850,"Che, Y",2020,"CID","Yes","No","Yes","No","CAMS","Chinese Academy of Medical Sciences","Inactivated","A4","High dose, 28 days","No","A4","A3",18,59,148,2,1,28,0,0,150,150,NA,"EU","Live virus","MNT 50","NT Ab","GMT/SE",2,2,2,"Figure 2",NA,NA,NA,NA,NA,NA,NA,-28,-28
850,"Che, Y",2020,"CID","Yes","No","Yes","No","CAMS","Chinese Academy of Medical Sciences","Inactivated","A4","High dose, 28 days","No","A4","A3",18,59,148,2,2,28,28,28,150,150,NA,"EU","Live virus","MNT 50","NT Ab","GMT/SE",18.91,6.75,56.96,"Figure 2",NA,NA,NA,NA,NA,NA,NA,0,0
233,"Chu, L",2021,"Vaccine","Yes","No","Yes","No","mRNA-1273","Moderna","mRNA","A1","Low-dose, 18to55","No","A2","A1",18,54,90,2,0,28,0,0,50,50,NA,"ug","Live virus","MNT 50","NT Ab","GMT/CI",46.2,44.9,47.9,"Table 3",46.2,44.9,47.9,321,238,433,32,-28,-28
233,"Chu, L",2021,"Vaccine","Yes","No","Yes","No","mRNA-1273","Moderna","mRNA","A1","Low-dose, 18to55","No","A2","A1",18,54,89,2,1,28,29,29,50,50,NA,"ug","Live virus","MNT 50","NT Ab","GMT/CI",184,147,230,"Table 3",46.2,44.9,47.9,321,238,433,32,1,1
233,"Chu, L",2021,"Vaccine","Yes","No","Yes","No","mRNA-1273","Moderna","mRNA","A1","Low-dose, 18to55","No","A2","A1",18,54,78,2,2,28,43,43,50,50,NA,"ug","Live virus","MNT 50","NT Ab","GMT/CI",1733,1611,1865,"Table 3",46.2,44.9,47.9,321,238,433,32,15,15
233,"Chu, L",2021,"Vaccine","Yes","No","Yes","No","mRNA-1273","Moderna","mRNA","A1","Low-dose, 18to55","No","A2","A1",18,54,80,2,2,28,57,57,50,50,NA,"ug","Live virus","MNT 50","NT Ab","GMT/CI",1613,1488,1747,"Table 3",46.2,44.9,47.9,321,238,433,32,29,29
233,"Chu, L",2021,"Vaccine","Yes","No","Yes","No","mRNA-1273","Moderna","mRNA","A2","High-dose, 18to55","Yes","A2","A1",18,54,95,2,0,28,0,0,100,100,NA,"ug","Live virus","MNT 50","NT Ab","GMT/CI",45.6,NA,NA,"Table 3",46.2,44.9,47.9,321,238,433,32,-28,-28
233,"Chu, L",2021,"Vaccine","Yes","No","Yes","No","mRNA-1273","Moderna","mRNA","A2","High-dose, 18to55","Yes","A2","A1",18,54,94,2,1,28,29,29,100,100,NA,"ug","Live virus","MNT 50","NT Ab","GMT/CI",273,220,338,"Table 3",46.2,44.9,47.9,321,238,433,32,1,1
233,"Chu, L",2021,"Vaccine","Yes","No","Yes","No","mRNA-1273","Moderna","mRNA","A2","High-dose, 18to55","Yes","A2","A1",18,54,88,2,2,28,43,43,100,100,NA,"ug","Live virus","MNT 50","NT Ab","GMT/CI",1909,1849,1971,"Table 3",46.2,44.9,47.9,321,238,433,32,15,15
233,"Chu, L",2021,"Vaccine","Yes","No","Yes","No","mRNA-1273","Moderna","mRNA","A2","High-dose, 18to55","Yes","A2","A1",18,54,82,2,2,28,57,57,100,100,NA,"ug","Live virus","MNT 50","NT Ab","GMT/CI",1692,1586,1805,"Table 3",46.2,44.9,47.9,321,238,433,32,29,29
233,"Chu, L",2021,"Vaccine","Yes","No","Yes","No","mRNA-1273","Moderna","mRNA","A3","Low-dose, 55 and above","No","A2","A1",55,100,89,2,0,28,0,0,50,50,NA,"ug","Live virus","MNT 50","NT Ab","GMT/CI",45.6,NA,NA,"Table 3",46.2,44.9,47.9,321,238,433,32,-28,-28
233,"Chu, L",2021,"Vaccine","Yes","No","Yes","No","mRNA-1273","Moderna","mRNA","A3","Low-dose, 55 and above","No","A2","A1",55,100,79,2,1,28,29,29,50,50,NA,"ug","Live virus","MNT 50","NT Ab","GMT/CI",160,122,208,"Table 3",46.2,44.9,47.9,321,238,433,32,1,1
233,"Chu, L",2021,"Vaccine","Yes","No","Yes","No","mRNA-1273","Moderna","mRNA","A3","Low-dose, 55 and above","No","A2","A1",55,100,63,2,2,28,43,43,50,50,NA,"ug","Live virus","MNT 50","NT Ab","GMT/CI",1827,1722,1938,"Table 3",46.2,44.9,47.9,321,238,433,32,15,15
233,"Chu, L",2021,"Vaccine","Yes","No","Yes","No","mRNA-1273","Moderna","mRNA","A3","Low-dose, 55 and above","No","A2","A1",55,100,70,2,2,28,57,57,50,50,NA,"ug","Live virus","MNT 50","NT Ab","GMT/CI",1671,1545,1807,"Table 3",46.2,44.9,47.9,321,238,433,32,29,29
233,"Chu, L",2021,"Vaccine","Yes","No","Yes","No","mRNA-1273","Moderna","mRNA","A4","High-dose, 55 and above","Yes","A2","A1",55,100,91,2,0,28,0,0,100,100,NA,"ug","Live virus","MNT 50","NT Ab","GMT/CI",45.6,NA,NA,"Table 3",46.2,44.9,47.9,321,238,433,32,-28,-28
233,"Chu, L",2021,"Vaccine","Yes","No","Yes","No","mRNA-1273","Moderna","mRNA","A4","High-dose, 55 and above","Yes","A2","A1",55,100,86,2,1,28,29,29,100,100,NA,"ug","Live virus","MNT 50","NT Ab","GMT/CI",185,145,236,"Table 3",46.2,44.9,47.9,321,238,433,32,1,1
233,"Chu, L",2021,"Vaccine","Yes","No","Yes","No","mRNA-1273","Moderna","mRNA","A4","High-dose, 55 and above","Yes","A2","A1",55,100,62,2,2,28,43,43,100,100,NA,"ug","Live virus","MNT 50","NT Ab","GMT/CI",1686,1521,1869,"Table 3",46.2,44.9,47.9,321,238,433,32,15,15
233,"Chu, L",2021,"Vaccine","Yes","No","Yes","No","mRNA-1273","Moderna","mRNA","A4","High-dose, 55 and above","Yes","A2","A1",55,100,70,2,2,28,57,57,100,100,NA,"ug","Live virus","MNT 50","NT Ab","GMT/CI",1613,1460,1782,"Table 3",46.2,44.9,47.9,321,238,433,32,29,29
42,"Ella, R",2021,"Lancet ID","Yes","Yes","No","No","BBV152","Covaxin","Inactivated","A1","Low-dose, Algel-IMDG","No","A2","A1",18,55,99,2,0,14,0,0,3,3,NA,"ug","Live virus","MNT 50","NT Ab","GMT/CI",6.3,5.9,6.6,"Figure 3B",NA,NA,NA,62.3,40.8,95.2,41,-14,-14
42,"Ella, R",2021,"Lancet ID","Yes","Yes","No","No","BBV152","Covaxin","Inactivated","A1","Low-dose, Algel-IMDG","No","A2","A1",18,55,99,2,1,14,14,14,3,3,NA,"ug","Live virus","MNT 50","NT Ab","GMT/CI",9.1,8.1,10.2,"Figure 3B",NA,NA,NA,62.3,40.8,95.2,41,0,0
42,"Ella, R",2021,"Lancet ID","Yes","Yes","No","No","BBV152","Covaxin","Inactivated","A1","Low-dose, Algel-IMDG","No","A2","A1",18,55,99,2,2,14,28,28,3,3,NA,"ug","Live virus","MNT 50","NT Ab","GMT/CI",61.7,49,75.9,"Figure 3B",NA,NA,NA,62.3,40.8,95.2,41,14,14
42,"Ella, R",2021,"Lancet ID","Yes","Yes","No","No","BBV152","Covaxin","Inactivated","A2","High-dose, Algel-IMDG","Yes","A2","A1",18,55,99,2,0,14,0,0,6,6,NA,"ug","Live virus","MNT 50","NT Ab","GMT/CI",6,5.8,6.3,"Figure 3B",NA,NA,NA,62.3,40.8,95.2,41,-14,-14
42,"Ella, R",2021,"Lancet ID","Yes","Yes","No","No","BBV152","Covaxin","Inactivated","A2","High-dose, Algel-IMDG","Yes","A2","A1",18,55,99,2,1,14,14,14,6,6,NA,"ug","Live virus","MNT 50","NT Ab","GMT/CI",11.2,9.5,12.9,"Figure 3B",NA,NA,NA,62.3,40.8,95.2,41,0,0
42,"Ella, R",2021,"Lancet ID","Yes","Yes","No","No","BBV152","Covaxin","Inactivated","A2","High-dose, Algel-IMDG","Yes","A2","A1",18,55,99,2,2,14,28,28,6,6,NA,"ug","Live virus","MNT 50","NT Ab","GMT/CI",66.1,52.5,81.3,"Figure 3B",NA,NA,NA,62.3,40.8,95.2,41,14,14
42,"Ella, R",2021,"Lancet ID","Yes","Yes","No","No","BBV152","Covaxin","Inactivated","B1","High-dose, Algel","No","A2","A1",18,55,93,2,0,14,0,0,6,6,NA,"ug","Live virus","MNT 50","NT Ab","GMT/CI",6,5.8,6.3,"Figure 3B",NA,NA,NA,62.3,40.8,95.2,41,-14,-14
42,"Ella, R",2021,"Lancet ID","Yes","Yes","No","No","BBV152","Covaxin","Inactivated","B1","High-dose, Algel","No","A2","A1",18,55,93,2,1,14,14,14,6,6,NA,"ug","Live virus","MNT 50","NT Ab","GMT/CI",9.3,8.1,10.7,"Figure 3B",NA,NA,NA,62.3,40.8,95.2,41,0,0
42,"Ella, R",2021,"Lancet ID","Yes","Yes","No","No","BBV152","Covaxin","Inactivated","B1","High-dose, Algel","No","A2","A1",18,55,93,2,2,14,28,28,6,6,NA,"ug","Live virus","MNT 50","NT Ab","GMT/CI",47.9,38,61.7,"Figure 3B",NA,NA,NA,62.3,40.8,95.2,41,14,14
316,"Ella, R",2021,"Lancet ID","Yes","No","Yes","No","BBV152","Covaxin","Inactivated","A1","Low dose","No","A2","A1",12,65,184,2,2,28,56,56,3,3,NA,"ug","Live virus","PRNT 50","NT Ab","GMT/CI",100.9,74.1,137.4,"Abstract",0.1,0.1,0.1,215.8,99.5,458.1,35,28,28
316,"Ella, R",2021,"Lancet ID","Yes","No","Yes","No","BBV152","Covaxin","Inactivated","A2","High dose","Yes","A2","A1",12,65,177,2,2,28,56,56,6,6,NA,"ug","Live virus","PRNT 50","NT Ab","GMT/CI",197,155.6,249.4,"Abstract",0.1,0.1,0.1,215.8,99.5,458.1,35,28,28
316,"Ella, R",2021,"Lancet ID","Yes","No","Yes","No","BBV152","Covaxin","Inactivated","A1","Low dose","No","A2","A1",12,65,184,2,2,28,56,56,3,3,NA,"ug","Live virus","MNT 50","NT Ab","GMT/CI",92.5,77.7,110.2,"Abstract",0.2,0.2,0.2,36.4,18.4,72.1,35,28,28
316,"Ella, R",2021,"Lancet ID","Yes","No","Yes","No","BBV152","Covaxin","Inactivated","A2","High dose","Yes","A2","A1",12,65,177,2,2,28,56,56,6,6,NA,"ug","Live virus","MNT 50","NT Ab","GMT/CI",160.1,135.8,188.8,"Abstract",0.2,0.2,0.2,36.4,18.4,72.1,35,28,28
316,"Ella, R",2021,"Lancet ID","Yes","Yes","No","No","BBV152","Covaxin","Inactivated","A1","Low dose","No","A2","A1",18,55,99,2,2,28,104,104,3,3,NA,"ug","Live virus","MNT 50","NT Ab","GMT/CI",39.9,32,49.9,"Abstract/Figre 4A",0.2,0.2,0.2,36.4,18.4,72.1,35,76,76
316,"Ella, R",2021,"Lancet ID","Yes","Yes","No","No","BBV152","Covaxin","Inactivated","A2","High dose","Yes","A2","A1",18,55,99,2,2,28,104,104,6,6,NA,"ug","Live virus","MNT 50","NT Ab","GMT/CI",69.5,53.7,89.9,"Abstract/Figre 4A",0.2,0.2,0.2,36.4,18.4,72.1,35,76,76
316,"Ella, R",2021,"Lancet ID","Yes","Yes","No","No","BBV152","Covaxin","Inactivated","B1","High dose","Yes","A2","A1",18,55,93,2,2,28,104,104,6,6,NA,"ug","Live virus","MNT 50","NT Ab","GMT/CI",53.3,40.1,71,"Abstract/Figre 4A",0.2,0.2,0.2,36.4,18.4,72.1,35,76,76
316,"Ella, R",2021,"Lancet ID","Yes","No","Yes","No","BBV152","Covaxin","Inactivated","A1","Low dose","No","A2","A1",12,65,190,2,0,28,0,0,3,3,NA,"ug","Live virus","PRNT 50","NT Ab","GMT/CI",0.1,0.1,0.1,"Figure 2A",0.1,0.1,0.1,215.8,99.5,458.1,35,-28,-28
316,"Ella, R",2021,"Lancet ID","Yes","No","Yes","No","BBV152","Covaxin","Inactivated","A1","Low dose","No","A2","A1",12,65,189,2,1,28,28,28,3,3,NA,"ug","Live virus","PRNT 50","NT Ab","GMT/CI",1.3,0.8,1.9,"Figure 2A",0.1,0.1,0.1,215.8,99.5,458.1,35,0,0
316,"Ella, R",2021,"Lancet ID","Yes","No","Yes","No","BBV152","Covaxin","Inactivated","A1","Low dose","No","A2","A1",12,65,187,2,2,28,42,42,3,3,NA,"ug","Live virus","PRNT 50","NT Ab","GMT/CI",78.3,57.9,105.9,"Figure 2A",0.1,0.1,0.1,215.8,99.5,458.1,35,14,14
