Record_number,Author,Journal,Year,Vaccine,Vaccine_type,Manufacture,Group_ID,Group,Subgroup,Dose_level,Dose_concentration,Display_item,Time,Dosages,Measurement,N,Event,Risk
15,"Xia, S",Lancet ID,2020,BBIBP-CorV,Inactivated,Sinopharm (Beijing),A1,"2ug, phase 1, adult",A,Lower,2,Table 2,7,Any,Systemic,24,NA,NA
15,"Xia, S",Lancet ID,2020,BBIBP-CorV,Inactivated,Sinopharm (Beijing),A2,"4ug, phase 1, adult",A,Standard,4,Table 2,7,Any,Systemic,24,NA,NA
15,"Xia, S",Lancet ID,2020,BBIBP-CorV,Inactivated,Sinopharm (Beijing),A3,"8ug, phase 1, adult",A,Higher,8,Table 2,7,Any,Systemic,24,NA,NA
15,Xia. S,Lancet ID,2020,BBIBP-CorV,Inactivated,Sinopharm (Beijing),A4,"2ug, phase 1, elderly",B,Lower,2,Table 3,7,Any,Systemic,24,NA,NA
15,Xia. S,Lancet ID,2020,BBIBP-CorV,Inactivated,Sinopharm (Beijing),A5,"4ug, phase 1, elderly",B,Standard,4,Table 3,7,Any,Systemic,24,NA,NA
15,Xia. S,Lancet ID,2020,BBIBP-CorV,Inactivated,Sinopharm (Beijing),A6,"8ug, phase 1, elderly",B,Higher,8,Table 3,7,Any,Systemic,24,NA,NA
2382,"Xia, S",Lancet ID,2021,BBIBP-CorV,Inactivated,Sinopharm (Beijing),A1,"2ug, 3-5 yrs",A,Lower,2,Table 3,30,Full,Local,83,1,1.2
2382,"Xia, S",Lancet ID,2021,BBIBP-CorV,Inactivated,Sinopharm (Beijing),A2,"4ug, 3-5 yrs",A,Standard,4,Table 3,30,Full,Local,84,4,4.76
2382,"Xia, S",Lancet ID,2021,BBIBP-CorV,Inactivated,Sinopharm (Beijing),A3,"8ug, 3-5 yrs",A,Higher,8,Table 3,30,Full,Local,84,8,9.52
2382,"Xia, S",Lancet ID,2021,BBIBP-CorV,Inactivated,Sinopharm (Beijing),A4,"2ug, 6-12 yrs",B,Lower,2,Table 4,30,Full,Local,84,8,9.52
2382,"Xia, S",Lancet ID,2021,BBIBP-CorV,Inactivated,Sinopharm (Beijing),A5,"4ug, 6-12 yrs",B,Standard,4,Table 4,30,Full,Local,84,19,22.62
2382,"Xia, S",Lancet ID,2021,BBIBP-CorV,Inactivated,Sinopharm (Beijing),A6,"8ug, 6-12 yrs",B,Higher,8,Table 4,30,Full,Local,84,11,13.1
2382,"Xia, S",Lancet ID,2021,BBIBP-CorV,Inactivated,Sinopharm (Beijing),A7,"2ug, 13-17 yrs",C,Lower,2,Table 5,30,Full,Local,84,10,11.9
2382,"Xia, S",Lancet ID,2021,BBIBP-CorV,Inactivated,Sinopharm (Beijing),A8,"4ug, 13-17 yrs",C,Standard,4,Table 5,30,Full,Local,84,13,15.48
2382,"Xia, S",Lancet ID,2021,BBIBP-CorV,Inactivated,Sinopharm (Beijing),A9,"8ug, 13-17 yrs",C,Higher,8,Table 5,30,Full,Local,84,6,7.14
2382,"Xia, S",Lancet ID,2021,BBIBP-CorV,Inactivated,Sinopharm (Beijing),A1,"2ug, 3-5 yrs",A,Lower,2,Table 3,30,Full,Systemic,83,14,16.87
2382,"Xia, S",Lancet ID,2021,BBIBP-CorV,Inactivated,Sinopharm (Beijing),A2,"4ug, 3-5 yrs",A,Standard,4,Table 3,30,Full,Systemic,84,22,26.19
2382,"Xia, S",Lancet ID,2021,BBIBP-CorV,Inactivated,Sinopharm (Beijing),A3,"8ug, 3-5 yrs",A,Higher,8,Table 3,30,Full,Systemic,84,28,33.33
2382,"Xia, S",Lancet ID,2021,BBIBP-CorV,Inactivated,Sinopharm (Beijing),A4,"2ug, 6-12 yrs",B,Lower,2,Table 4,30,Full,Systemic,84,6,7.14
2382,"Xia, S",Lancet ID,2021,BBIBP-CorV,Inactivated,Sinopharm (Beijing),A5,"4ug, 6-12 yrs",B,Standard,4,Table 4,30,Full,Systemic,84,6,7.14
2382,"Xia, S",Lancet ID,2021,BBIBP-CorV,Inactivated,Sinopharm (Beijing),A6,"8ug, 6-12 yrs",B,Higher,8,Table 4,30,Full,Systemic,84,14,16.67
2382,"Xia, S",Lancet ID,2021,BBIBP-CorV,Inactivated,Sinopharm (Beijing),A7,"2ug, 13-17 yrs",C,Lower,2,Table 5,30,Full,Systemic,84,28,33.33
2382,"Xia, S",Lancet ID,2021,BBIBP-CorV,Inactivated,Sinopharm (Beijing),A8,"4ug, 13-17 yrs",C,Standard,4,Table 5,30,Full,Systemic,84,17,20.24
2382,"Xia, S",Lancet ID,2021,BBIBP-CorV,Inactivated,Sinopharm (Beijing),A9,"8ug, 13-17 yrs",C,Higher,8,Table 5,30,Full,Systemic,84,12,14.29
2382,"Xia, S",Lancet ID,2021,BBIBP-CorV,Inactivated,Sinopharm (Beijing),A1,"2ug, 3-5 yrs",A,Lower,2,Table 3,30,Full,Overall,83,15,18.1
2382,"Xia, S",Lancet ID,2021,BBIBP-CorV,Inactivated,Sinopharm (Beijing),A2,"4ug, 3-5 yrs",A,Standard,4,Table 3,30,Full,Overall,84,27,32.1
2382,"Xia, S",Lancet ID,2021,BBIBP-CorV,Inactivated,Sinopharm (Beijing),A3,"8ug, 3-5 yrs",A,Higher,8,Table 3,30,Full,Overall,84,36,42.9
2382,"Xia, S",Lancet ID,2021,BBIBP-CorV,Inactivated,Sinopharm (Beijing),A4,"2ug, 6-12 yrs",B,Lower,2,Table 4,30,Full,Overall,84,15,17.9
2382,"Xia, S",Lancet ID,2021,BBIBP-CorV,Inactivated,Sinopharm (Beijing),A5,"4ug, 6-12 yrs",B,Standard,4,Table 4,30,Full,Overall,84,25,29.8
2382,"Xia, S",Lancet ID,2021,BBIBP-CorV,Inactivated,Sinopharm (Beijing),A6,"8ug, 6-12 yrs",B,Higher,8,Table 4,30,Full,Overall,84,25,29.8
2382,"Xia, S",Lancet ID,2021,BBIBP-CorV,Inactivated,Sinopharm (Beijing),A7,"2ug, 13-17 yrs",C,Lower,2,Table 5,30,Full,Overall,84,38,45.2
2382,"Xia, S",Lancet ID,2021,BBIBP-CorV,Inactivated,Sinopharm (Beijing),A8,"4ug, 13-17 yrs",C,Standard,4,Table 5,30,Full,Overall,84,30,3.6
2382,"Xia, S",Lancet ID,2021,BBIBP-CorV,Inactivated,Sinopharm (Beijing),A9,"8ug, 13-17 yrs",C,Higher,8,Table 5,30,Full,Overall,84,18,21.4
6,"Xia, S",JAMA,2020,Sinopharm (Wuhan),Inactivated,Sinopharm (Wuhan),A1,"Low-dose, phase 1",A,None,2.5,Table 2,7,Full,Local,24,5,20.8
6,"Xia, S",JAMA,2020,Sinopharm (Wuhan),Inactivated,Sinopharm (Wuhan),A2,"Medium-dose, phase 1",A,None,5,Table 2,7,Full,Local,24,1,4.2
6,"Xia, S",JAMA,2020,Sinopharm (Wuhan),Inactivated,Sinopharm (Wuhan),A3,"High-dose, phase 1",A,None,10,Table 2,7,Full,Local,24,6,25
6,"Xia, S",JAMA,2020,Sinopharm (Wuhan),Inactivated,Sinopharm (Wuhan),A1,"Low-dose, phase 1",A,None,2.5,Table 2,7,Full,Systemic,24,0,0
6,"Xia, S",JAMA,2020,Sinopharm (Wuhan),Inactivated,Sinopharm (Wuhan),A2,"Medium-dose, phase 1",A,None,5,Table 2,7,Full,Systemic,24,3,12.5
6,"Xia, S",JAMA,2020,Sinopharm (Wuhan),Inactivated,Sinopharm (Wuhan),A3,"High-dose, phase 1",A,None,10,Table 2,7,Full,Systemic,24,1,4.2
6,"Xia, S",JAMA,2020,Sinopharm (Wuhan),Inactivated,Sinopharm (Wuhan),A1,"Low-dose, phase 1",A,None,2.5,Table 2,28,Full,Overall,24,5,20.8
6,"Xia, S",JAMA,2020,Sinopharm (Wuhan),Inactivated,Sinopharm (Wuhan),A2,"Medium-dose, phase 1",A,None,5,Table 2,28,Full,Overall,24,4,16.7
6,"Xia, S",JAMA,2020,Sinopharm (Wuhan),Inactivated,Sinopharm (Wuhan),A3,"High-dose, phase 1",A,None,10,Table 2,28,Full,Overall,24,6,25
42,Ella. R,Lancet ID,2021,BBV152,Inactivated,Covaxin,A1,"Low-dose, Algel-IMDG",A,Lower,3,Table 2/Table S2,7,Partial,Local,100,5,5
42,Ella. R,Lancet ID,2021,BBV152,Inactivated,Covaxin,A2,"High-dose, Algel-IMDG",A,Standard,6,Table 2/Table S2,7,Partial,Local,100,5,5
42,Ella. R,Lancet ID,2021,BBV152,Inactivated,Covaxin,A1,"Low-dose, Algel-IMDG",A,Lower,3,Table 2/Table S2,7,Full,Local,100,2,2
42,Ella. R,Lancet ID,2021,BBV152,Inactivated,Covaxin,A2,"High-dose, Algel-IMDG",A,Standard,6,Table 2/Table S2,7,Full,Local,100,1,1
42,Ella. R,Lancet ID,2021,BBV152,Inactivated,Covaxin,A1,"Low-dose, Algel-IMDG",A,Lower,3,Table 2/Table S2,7,Partial,Systemic,100,5,5
42,Ella. R,Lancet ID,2021,BBV152,Inactivated,Covaxin,A2,"High-dose, Algel-IMDG",A,Standard,6,Table 2/Table S2,7,Partial,Systemic,100,14,14
42,Ella. R,Lancet ID,2021,BBV152,Inactivated,Covaxin,A1,"Low-dose, Algel-IMDG",A,Lower,3,Table 2/Table S2,7,Full,Systemic,100,5,5
42,Ella. R,Lancet ID,2021,BBV152,Inactivated,Covaxin,A2,"High-dose, Algel-IMDG",A,Standard,6,Table 2/Table S2,7,Full,Systemic,100,1,1
42,Ella. R,Lancet ID,2021,BBV152,Inactivated,Covaxin,A1,"Low-dose, Algel-IMDG",A,Lower,3,Table 2/Table S2,28,Partial,Unsolicited,100,NA,NA
42,Ella. R,Lancet ID,2021,BBV152,Inactivated,Covaxin,A2,"High-dose, Algel-IMDG",A,Standard,6,Table 2/Table S2,28,Partial,Unsolicited,100,NA,NA
42,Ella. R,Lancet ID,2021,BBV152,Inactivated,Covaxin,A1,"Low-dose, Algel-IMDG",A,Lower,3,Table 2/Table S2,28,Full,Unsolicited,100,NA,NA
42,Ella. R,Lancet ID,2021,BBV152,Inactivated,Covaxin,A2,"High-dose, Algel-IMDG",A,Standard,6,Table 2/Table S2,28,Full,Unsolicited,100,NA,NA
316,Ella. R,Lancet ID,2021,BBV152,Inactivated,Covaxin,A1,Low dose,A,Lower,3,Table 3/Text,7,Partial,Local,190,9,5
316,Ella. R,Lancet ID,2021,BBV152,Inactivated,Covaxin,A2,High dose,A,Standard,6,Table 3/Text,7,Partial,Local,190,8,4
316,Ella. R,Lancet ID,2021,BBV152,Inactivated,Covaxin,A1,Low dose,A,Lower,3,Table 3/Text,7,Full,Local,190,8,4
316,Ella. R,Lancet ID,2021,BBV152,Inactivated,Covaxin,A2,High dose,A,Standard,6,Table 3/Text,7,Full,Local,190,7,4
316,Ella. R,Lancet ID,2021,BBV152,Inactivated,Covaxin,A1,Low dose,A,Lower,3,Table 3/Text,7,Partial,Systemic,190,9,5
316,Ella. R,Lancet ID,2021,BBV152,Inactivated,Covaxin,A2,High dose,A,Standard,6,Table 3/Text,7,Partial,Systemic,190,14,7
316,Ella. R,Lancet ID,2021,BBV152,Inactivated,Covaxin,A1,Low dose,A,Lower,3,Table 3/Text,7,Any,Systemic,190,12,6
316,Ella. R,Lancet ID,2021,BBV152,Inactivated,Covaxin,A2,High dose,A,Standard,6,Table 3/Text,7,Any,Systemic,190,11,6
850,Che. Y,CID,2020,CAMS,Inactivated,Chinese Academy of Medical Sciences,A1,"Medium-dose, 14 days",A,Lower,100,Table 2,7,Any,Local,150,24,16
850,Che. Y,CID,2020,CAMS,Inactivated,Chinese Academy of Medical Sciences,A2,"High dose, 14 days",A,Standard,150,Table 2,7,Any,Local,150,27,18
850,Che. Y,CID,2020,CAMS,Inactivated,Chinese Academy of Medical Sciences,A3,"Medium-dose, 28 days",B,None,100,Table 2,7,Any,Local,150,22,14.7
850,Che. Y,CID,2020,CAMS,Inactivated,Chinese Academy of Medical Sciences,A4,"High dose, 28 days",B,None,150,Table 2,7,Any,Local,150,18,12
850,Che. Y,CID,2020,CAMS,Inactivated,Chinese Academy of Medical Sciences,A1,"Medium-dose, 14 days",A,Lower,100,Table 2,7,Any,Systemic,150,15,10
850,Che. Y,CID,2020,CAMS,Inactivated,Chinese Academy of Medical Sciences,A2,"High dose, 14 days",A,Standard,150,Table 2,7,Any,Systemic,150,20,13.3
850,Che. Y,CID,2020,CAMS,Inactivated,Chinese Academy of Medical Sciences,A3,"Medium-dose, 28 days",B,None,100,Table 2,7,Any,Systemic,150,20,13.3
850,Che. Y,CID,2020,CAMS,Inactivated,Chinese Academy of Medical Sciences,A4,"High dose, 28 days",B,None,150,Table 2,7,Any,Systemic,150,12,8
850,Che. Y,CID,2020,CAMS,Inactivated,Chinese Academy of Medical Sciences,A1,"Medium-dose, 14 days",A,Lower,100,Table 2,7,Any,Unsolicited,150,4,2.7
850,Che. Y,CID,2020,CAMS,Inactivated,Chinese Academy of Medical Sciences,A2,"High dose, 14 days",A,Standard,150,Table 2,7,Any,Unsolicited,150,2,1.3
850,Che. Y,CID,2020,CAMS,Inactivated,Chinese Academy of Medical Sciences,A3,"Medium-dose, 28 days",B,None,100,Table 2,7,Any,Unsolicited,150,11,7.3
850,Che. Y,CID,2020,CAMS,Inactivated,Chinese Academy of Medical Sciences,A4,"High dose, 28 days",B,None,150,Table 2,7,Any,Unsolicited,150,5,3.3
850,Che. Y,CID,2020,CAMS,Inactivated,Chinese Academy of Medical Sciences,A1,"Medium-dose, 14 days",A,Lower,100,Table 2,28,Any,Overall,150,36,24
850,Che. Y,CID,2020,CAMS,Inactivated,Chinese Academy of Medical Sciences,A2,"High dose, 14 days",A,Standard,150,Table 2,28,Any,Overall,150,41,27.3
850,Che. Y,CID,2020,CAMS,Inactivated,Chinese Academy of Medical Sciences,A3,"Medium-dose, 28 days",B,None,100,Table 2,28,Any,Overall,150,40,26.7
850,Che. Y,CID,2020,CAMS,Inactivated,Chinese Academy of Medical Sciences,A4,"High dose, 28 days",B,None,150,Table 2,28,Any,Overall,150,29,19.3
846,Han. B,Lancet ID,2021,CoronaVac,Inactivated,Sinovac,A1,NA,A,Lower,1.5,appendix Table 2-4,7,Any,Local,57,NA,NA
846,Han. B,Lancet ID,2021,CoronaVac,Inactivated,Sinovac,A2,NA,A,Standard,3,appendix Table 2-4,7,Any,Local,56,NA,NA
846,Han. B,Lancet ID,2021,CoronaVac,Inactivated,Sinovac,A3,NA,B,Lower,1.5,appendix Table 2-4,7,Any,Local,81,NA,NA
846,Han. B,Lancet ID,2021,CoronaVac,Inactivated,Sinovac,A4,NA,B,Standard,3,appendix Table 2-4,7,Any,Local,81,NA,NA
846,Han. B,Lancet ID,2021,CoronaVac,Inactivated,Sinovac,A5,NA,C,Lower,1.5,appendix Table 2-4,7,Any,Local,81,NA,NA
846,Han. B,Lancet ID,2021,CoronaVac,Inactivated,Sinovac,A6,NA,C,Standard,3,appendix Table 2-4,7,Any,Local,80,NA,NA
846,Han. B,Lancet ID,2021,CoronaVac,Inactivated,Sinovac,A1,NA,A,Lower,1.5,appendix Table 2-4,7,Any,Systemic,57,NA,NA
846,Han. B,Lancet ID,2021,CoronaVac,Inactivated,Sinovac,A2,NA,A,Standard,3,appendix Table 2-4,7,Any,Systemic,56,NA,NA
846,Han. B,Lancet ID,2021,CoronaVac,Inactivated,Sinovac,A3,NA,B,Lower,1.5,appendix Table 2-4,7,Any,Systemic,81,NA,NA
846,Han. B,Lancet ID,2021,CoronaVac,Inactivated,Sinovac,A4,NA,B,Standard,3,appendix Table 2-4,7,Any,Systemic,81,NA,NA
846,Han. B,Lancet ID,2021,CoronaVac,Inactivated,Sinovac,A5,NA,C,Lower,1.5,appendix Table 2-4,7,Any,Systemic,81,NA,NA
846,Han. B,Lancet ID,2021,CoronaVac,Inactivated,Sinovac,A6,NA,C,Standard,3,appendix Table 2-4,7,Any,Systemic,80,NA,NA
846,Han. B,Lancet ID,2021,CoronaVac,Inactivated,Sinovac,A1,NA,A,Lower,1.5,appendix Table 2-4,7,Any,Solicited,57,12,21
846,Han. B,Lancet ID,2021,CoronaVac,Inactivated,Sinovac,A2,NA,A,Standard,3,appendix Table 2-4,7,Any,Solicited,56,14,25
846,Han. B,Lancet ID,2021,CoronaVac,Inactivated,Sinovac,A3,NA,B,Lower,1.5,appendix Table 2-4,7,Any,Solicited,81,11,14
846,Han. B,Lancet ID,2021,CoronaVac,Inactivated,Sinovac,A4,NA,B,Standard,3,appendix Table 2-4,7,Any,Solicited,81,15,19
846,Han. B,Lancet ID,2021,CoronaVac,Inactivated,Sinovac,A5,NA,C,Lower,1.5,appendix Table 2-4,7,Any,Solicited,81,28,35
846,Han. B,Lancet ID,2021,CoronaVac,Inactivated,Sinovac,A6,NA,C,Standard,3,appendix Table 2-4,7,Any,Solicited,80,30,38
846,Han. B,Lancet ID,2021,CoronaVac,Inactivated,Sinovac,A1,NA,A,Lower,1.5,appendix Table 2-4,28,Any,Unsolicited,57,2,4
846,Han. B,Lancet ID,2021,CoronaVac,Inactivated,Sinovac,A2,NA,A,Standard,3,appendix Table 2-4,28,Any,Unsolicited,56,6,11
846,Han. B,Lancet ID,2021,CoronaVac,Inactivated,Sinovac,A3,NA,B,Lower,1.5,appendix Table 2-4,28,Any,Unsolicited,81,2,2
846,Han. B,Lancet ID,2021,CoronaVac,Inactivated,Sinovac,A4,NA,B,Standard,3,appendix Table 2-4,28,Any,Unsolicited,81,5,6
846,Han. B,Lancet ID,2021,CoronaVac,Inactivated,Sinovac,A5,NA,C,Lower,1.5,appendix Table 2-4,28,Any,Unsolicited,81,7,9
846,Han. B,Lancet ID,2021,CoronaVac,Inactivated,Sinovac,A6,NA,C,Standard,3,appendix Table 2-4,28,Any,Unsolicited,80,4,5
846,Han. B,Lancet ID,2021,CoronaVac,Inactivated,Sinovac,A1,NA,A,Lower,1.5,appendix Table 2-4,28,Any,Overall,57,13,23
846,Han. B,Lancet ID,2021,CoronaVac,Inactivated,Sinovac,A2,NA,A,Standard,3,appendix Table 2-4,28,Any,Overall,56,15,27
846,Han. B,Lancet ID,2021,CoronaVac,Inactivated,Sinovac,A3,NA,B,Lower,1.5,appendix Table 2-4,28,Any,Overall,81,12,15
846,Han. B,Lancet ID,2021,CoronaVac,Inactivated,Sinovac,A4,NA,B,Standard,3,appendix Table 2-4,28,Any,Overall,81,18,22
846,Han. B,Lancet ID,2021,CoronaVac,Inactivated,Sinovac,A5,NA,C,Lower,1.5,appendix Table 2-4,28,Any,Overall,81,31,38
846,Han. B,Lancet ID,2021,CoronaVac,Inactivated,Sinovac,A6,NA,C,Standard,3,appendix Table 2-4,28,Any,Overall,80,30,38
321,Wu. Z,Lancet ID,2021,CoronaVac,Inactivated,Sinovac,A3,NA,A,Lower,1.5,Table 2,28,Any,Local,100,13,13
321,Wu. Z,Lancet ID,2021,CoronaVac,Inactivated,Sinovac,A1/A4,NA,A,Standard,3,Table 2,28,Any,Local,125,15,12
321,Wu. Z,Lancet ID,2021,CoronaVac,Inactivated,Sinovac,A2/A5,NA,A,Higher,6,Table 2,28,Any,Local,123,13,11
321,Wu. Z,Lancet ID,2021,CoronaVac,Inactivated,Sinovac,A3,NA,A,Lower,1.5,Table 2,28,Any,Systemic,100,10,10
321,Wu. Z,Lancet ID,2021,CoronaVac,Inactivated,Sinovac,A1/A4,NA,A,Standard,3,Table 2,28,Any,Systemic,125,13,10
321,Wu. Z,Lancet ID,2021,CoronaVac,Inactivated,Sinovac,A2/A5,NA,A,Higher,6,Table 2,28,Any,Systemic,123,18,15
321,Wu. Z,Lancet ID,2021,CoronaVac,Inactivated,Sinovac,A3,NA,A,Lower,1.5,Table 2,28,Any,Overall,100,20,20
321,Wu. Z,Lancet ID,2021,CoronaVac,Inactivated,Sinovac,A1/A4,NA,A,Standard,3,Table 2,28,Any,Overall,125,25,20
321,Wu. Z,Lancet ID,2021,CoronaVac,Inactivated,Sinovac,A2/A5,NA,A,Higher,6,Table 2,28,Any,Overall,123,27,22
30,Zhang. Y,Lancet ID,2021,CoronaVac,Inactivated,Sinovac,A1,"Low dose, 14 days interval, phase 1",A,Standard,3,appendix Table 3-1,28,Any,Local,24,4,16.7
30,Zhang. Y,Lancet ID,2021,CoronaVac,Inactivated,Sinovac,A2,"High dose, 14 days interval, phase 1",A,Higher,6,appendix Table 3-1,28,Any,Local,24,5,20.8
30,Zhang. Y,Lancet ID,2021,CoronaVac,Inactivated,Sinovac,A1,NA,A,Standard,3,appendix Table 3-2,14,Partial,Local,24,4,16.7
30,Zhang. Y,Lancet ID,2021,CoronaVac,Inactivated,Sinovac,A2,NA,A,Higher,6,appendix Table 3-2,14,Partial,Local,24,4,16.7
30,Zhang. Y,Lancet ID,2021,CoronaVac,Inactivated,Sinovac,A1,NA,A,Standard,3,appendix Table 3-2,28,Full,Local,24,1,4.2
30,Zhang. Y,Lancet ID,2021,CoronaVac,Inactivated,Sinovac,A2,NA,A,Higher,6,appendix Table 3-2,28,Full,Local,24,3,12.5
30,Zhang. Y,Lancet ID,2021,CoronaVac,Inactivated,Sinovac,B1,"Low dose, 28 days interval, phase 1",B,Standard,3,appendix Table 3-3,28,Any,Local,24,3,12.5
30,Zhang. Y,Lancet ID,2021,CoronaVac,Inactivated,Sinovac,B2,"High dose, 28 days interval, phase 1",B,Higher,6,appendix Table 3-3,28,Any,Local,24,3,12.5
30,Zhang. Y,Lancet ID,2021,CoronaVac,Inactivated,Sinovac,B1,NA,B,Standard,3,appendix Table 3-4,28,Partial,Local,24,3,12.5
30,Zhang. Y,Lancet ID,2021,CoronaVac,Inactivated,Sinovac,B2,NA,B,Higher,6,appendix Table 3-4,28,Partial,Local,24,3,12.5
30,Zhang. Y,Lancet ID,2021,CoronaVac,Inactivated,Sinovac,B1,NA,B,Standard,3,appendix Table 3-4,28,Full,Local,24,1,4.2
30,Zhang. Y,Lancet ID,2021,CoronaVac,Inactivated,Sinovac,B2,NA,B,Higher,6,appendix Table 3-4,28,Full,Local,24,0,0
30,Zhang. Y,Lancet ID,2021,CoronaVac,Inactivated,Sinovac,A3,"Low dose, 14 days interval, phase 2",C,Standard,3,appendix Table 3-5,28,Any,Local,120,28,23.3
30,Zhang. Y,Lancet ID,2021,CoronaVac,Inactivated,Sinovac,A4,"High dose, 14 days interval, phase 2",C,Higher,6,appendix Table 3-5,28,Any,Local,120,33,27.5
30,Zhang. Y,Lancet ID,2021,CoronaVac,Inactivated,Sinovac,A3,NA,C,Standard,3,appendix Table 3-6,14,Partial,Local,120,13,10.8
30,Zhang. Y,Lancet ID,2021,CoronaVac,Inactivated,Sinovac,A4,NA,C,Higher,6,appendix Table 3-6,14,Partial,Local,120,21,17.5
30,Zhang. Y,Lancet ID,2021,CoronaVac,Inactivated,Sinovac,A3,NA,C,Standard,3,appendix Table 3-6,28,Full,Local,120,17,14.2
30,Zhang. Y,Lancet ID,2021,CoronaVac,Inactivated,Sinovac,A4,NA,C,Higher,6,appendix Table 3-6,28,Full,Local,120,15,12.6
30,Zhang. Y,Lancet ID,2021,CoronaVac,Inactivated,Sinovac,B3,"Low dose, 28 days interval, phase 2",D,Standard,3,appendix Table 3-7,28,Any,Local,120,12,10
30,Zhang. Y,Lancet ID,2021,CoronaVac,Inactivated,Sinovac,B4,"High dose, 28 days interval, phase 2",D,Higher,6,appendix Table 3-7,28,Any,Local,120,16,13.3
30,Zhang. Y,Lancet ID,2021,CoronaVac,Inactivated,Sinovac,B3,NA,D,Standard,3,appendix Table 3-8,28,Partial,Local,120,9,7.5
30,Zhang. Y,Lancet ID,2021,CoronaVac,Inactivated,Sinovac,B4,NA,D,Higher,6,appendix Table 3-8,28,Partial,Local,120,15,12.5
30,Zhang. Y,Lancet ID,2021,CoronaVac,Inactivated,Sinovac,B3,NA,D,Standard,3,appendix Table 3-8,28,Full,Local,117,3,2.6
30,Zhang. Y,Lancet ID,2021,CoronaVac,Inactivated,Sinovac,B4,NA,D,Higher,6,appendix Table 3-8,28,Full,Local,118,8,6.8
30,Zhang. Y,Lancet ID,2021,CoronaVac,Inactivated,Sinovac,A1,"Low dose, 14 days interval, phase 1",A,Standard,3,appendix Table 3-1,28,Any,Systemic,24,3,12.5
